Year,SYSTEM_CODE,SPECIES_CODE,LOCATION,IMAGE_NAME,AGE,SEX,LENGTH,CSW1,CSW2,CSW3,CSW4,CSW5,CSW6,CSW7,CSW8,CSW9,CSW10,CSW11,CSW12,CSW13,CSW14
2016,SS,230,PROMSILA BAY,SS1602M001,2,1,160,2.4111,1.358,,,,,,,,,,,,
2016,SS,230,OLGA STRAIT SOUTH,SS1602M002,2,1,163,1.8057,2.0683,,,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1603F001,3,2,160,1.4501,1.7497,0.7638,,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1603F002,3,2,167,2.016,1.3348,0.7422,,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1603F003,3,2,175,1.5458,1.5819,0.9623,,,,,,,,,,,
2016,SS,230,MAGOUN ISLAND SOUTH,SS1603F004,3,2,164,1.7157,1.4406,0.5788,,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1603F005,3,2,169,2.0249,1.4644,0.7234,,,,,,,,,,,
2016,SS,230,KASIANA ISLANDS SOUTH,SS1603F006,3,2,167,2.179,1.3344,0.7465,,,,,,,,,,,
2016,SS,230,HALIBUT POINT,SS1603M001,3,1,159,1.388,1.5518,0.3741,,,,,,,,,,,
2016,SS,230,MOSQUITO COVE,SS1603M002,3,1,160,1.8548,1.459,0.5695,,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1603M003,3,1,165,1.8059,1.5527,0.7912,,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1603M004,3,1,159,1.5842,1.3394,0.5789,,,,,,,,,,,
2016,SS,230,EASTERN BAY,SS1603M005,3,1,168,1.3327,1.7777,0.7262,,,,,,,,,,,
2016,SS,230,SUKOI POINT,SS1603M006,3,1,188,1.4031,1.9396,1.1862,,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1603M007,3,1,168,1.9459,1.6372,0.8417,,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F001,4,2,193,1.985,1.7559,0.824,0.6573,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F002,4,2,190,2.2522,1.7645,0.6484,0.2428,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F003,4,2,181,1.5456,1.6617,0.9916,0.3981,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F004,4,2,186,1.2569,1.7726,0.994,0.5624,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F005,4,2,197,2.2073,1.7878,0.9398,0.3583,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F006,4,2,186,1.8887,1.3018,1.2803,0.2057,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F007,4,2,189,2.072,1.9503,0.4187,0.4891,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F008,4,2,196,2.0005,1.6239,0.7298,0.1159,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F009,4,2,179,1.4992,2.2542,0.8512,0.1803,,,,,,,,,,
2016,SS,230,INNER POINT,SS1604F010,4,2,184,1.7271,1.6306,0.9207,0.3539,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F011,4,2,182,1.7626,1.7363,0.7712,0.4015,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F012,4,2,188,2.0804,1.313,0.7503,0.4099,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F013,4,2,173,1.8765,1.6663,0.6931,0.5958,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F014,4,2,210,2.1928,1.9748,0.6951,0.4333,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F015,4,2,186,1.9052,1.4998,0.6159,0.4399,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F016,4,2,174,1.636,1.2454,0.9227,0.495,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F017,4,2,194,1.73,1.664,0.9576,0.3234,,,,,,,,,,
2016,SS,230,KAMENOI POINT,SS1604F018,4,2,178,1.7986,1.4746,0.7194,0.2925,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F019,4,2,186,1.751,1.33,0.8692,0.5002,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F020,4,2,198,1.8591,1.5406,0.875,0.5744,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F021,4,2,183,1.6049,0.9468,0.6753,0.3169,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F022,4,2,196,1.8597,1.7065,0.8622,0.2569,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F023,4,2,198,1.8397,1.5475,1.0161,0.4386,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F024,4,2,191,2.0014,1.9106,0.7956,0.3367,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F025,4,2,184,1.6899,1.2867,1.0168,0.5653,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F026,4,2,185,1.9635,1.2163,0.9221,0.4014,,,,,,,,,,
2016,SS,230,POINT BROWN,SS1604F027,4,2,185,1.4226,1.3075,0.6585,0.3184,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F028,4,2,195,1.6236,1.6948,1.1642,0.4214,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F029,4,2,179,1.9254,1.4523,0.9692,0.5186,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F030,4,2,202,2.0287,1.8888,1.0121,0.5503,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F031,4,2,199,1.8448,1.8535,0.9897,0.6785,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F032,4,2,201,1.9367,2.1133,0.7059,0.49,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F033,4,2,187,1.6785,1.6585,0.8045,0.5036,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F034,4,2,198,1.8337,1.8551,0.8244,0.5066,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F035,4,2,190,2.0943,1.5581,0.7548,0.5713,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F036,4,2,206,2.0744,1.8225,0.9661,0.5898,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F037,4,2,196,1.6115,1.899,0.9143,0.412,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F038,4,2,190,1.4589,1.7629,0.9911,0.5359,,,,,,,,,,
2016,SS,230,KRESTA POINT,SS1604F039,4,2,172,1.6621,1.3413,0.8078,0.5131,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F040,4,2,182,1.871,1.7416,0.7948,0.3339,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F041,4,2,195,2.1417,1.6155,0.8136,0.4541,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F042,4,2,189,1.3357,1.5497,0.9866,0.6231,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F043,4,2,191,1.9277,1.8803,0.8858,0.5519,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F044,4,2,196,1.7931,1.7865,0.9153,0.4854,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F045,4,2,181,1.5243,1.4624,1.0014,0.528,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F046,4,2,192,1.9182,1.6434,0.786,0.3668,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F047,4,2,198,2.0467,1.6439,0.9639,0.5325,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F048,4,2,183,1.4225,1.4222,0.6566,0.2832,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F049,4,2,188,1.7997,1.6468,0.8754,0.3395,,,,,,,,,,
2016,SS,230,MIDDLE ISLAND NORTH,SS1604F050,4,2,186,1.9592,1.7675,0.8504,0.339,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F051,4,2,192,1.7215,2.3912,0.4176,0.4423,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F052,4,2,203,2.0773,1.9154,1.0344,0.3801,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F053,4,2,190,1.7386,1.5145,0.8214,0.433,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F054,4,2,200,1.6498,2.0199,0.792,0.3111,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F055,4,2,191,1.9424,1.7021,0.898,0.358,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F056,4,2,189,1.4018,1.4898,0.9861,0.5025,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F057,4,2,198,1.8018,1.6307,0.8057,0.5396,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F058,4,2,195,1.9582,1.748,1.0076,0.5533,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F059,4,2,193,2.2201,1.6938,1.0885,0.458,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F060,4,2,190,1.7223,1.7844,1.3484,0.2847,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F061,4,2,177,1.772,1.3918,0.7464,0.3564,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F062,4,2,189,1.7787,1.6319,0.8282,0.4643,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F063,4,2,174,1.6098,1.6092,0.7698,0.5262,,,,,,,,,,
2016,SS,230,LITTLE GAVANSKI,SS1604F064,4,2,185,1.8099,1.4941,0.6568,0.4763,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F065,4,2,186,1.5289,1.8207,0.8699,0.3388,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F066,4,2,197,2.0313,1.5365,0.6981,0.4578,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F067,4,2,197,1.8222,1.8684,0.808,0.5794,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F068,4,2,192,1.8767,1.5098,1.0288,0.6732,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F069,4,2,187,1.8452,1.241,0.8366,0.3862,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F070,4,2,193,2.1348,1.4042,0.8075,0.3801,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F071,4,2,179,1.4464,1.5361,0.9764,0.5279,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F072,4,2,184,1.6145,1.851,1.0273,0.5023,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F073,4,2,196,2.2282,1.5199,0.9283,0.3668,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F074,4,2,190,2.0875,1.3829,0.9313,0.5077,,,,,,,,,,
2016,SS,230,HALIBUT POINT ROAD NORTH,SS1604F075,4,2,191,1.9519,1.7991,0.8752,0.5554,,,,,,,,,,
